,patientId,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66,value67,value68,value69,value70,value71,value72,value73,value74,value75,value76,value77,value78,value79,value80,value81,value82,value83,value84,value85,value86,value87,value88,value89,value90,value91,value92,value93,value94,value95,value96,value97,value98,value99,value100,value101,value102,value103,value104,value105,value106,value107,value108,value109,value110,value111,value112,value113,value114,value115,value116,value117,value118,value119,value120,value121,value122,value123,value124,value125,value126,value127,value128,value129,value130,value131,value132,value133,value134,value135,value136,value137,value138,value139,value140,value141,value142,value143,value144,value145,value146,value147,value148,value149,value150,value151,value152,value153,value154,value155,value156,value157,value158,value159,value160,value161,value162,value163,value164,value165,value166,value167,value168,value169,value170,value171,value172,value173,value174,value175,value176,value177,value178,value179,value180,value181,value182,value183,value184,value185,value186,value187,value188,value189,value190,value191,value192,value193,value194,value195,value196,value197,value198,value199,value200,value201,value202,value203,value204,value205,value206,value207,value208,value209,value210,value211,value212,value213,value214,value215,value216,value217,value218,value219,value220,value221,value222,value223,value224,value225,value226,value227,value228,value229,value230,value231,value232,value233,value234,value235,value236,value237,value238,value239,value240,value241,value242,value243,value244,value245,value246,value247,value248,value249,value250,value251,value252,value253,value254,value255,value256,value257,value258,value259,value260,value261,value262,value263,value264,value265,value266,value267,value268,value269,value270,value271,value272,value273,value274,value275,value276,value277,value278,value279,value280,value281,value282,value283,value284,value285,value286,value287,value288,value289,value290,value291,value292,value293,value294,value295,value296,value297,value298,value299,value300,value301,value302,value303,value304,value305,value306,value307,value308,value309,value310,value311,value312,value313,value314,value315,value316,value317,value318,value319,value320,value321,value322,value323,value324,value325,value326,value327,value328,value329,value330,value331,value332,value333,value334,value335,value336,value337,value338,value339,value340,value341,value342,value343,value344,value345,value346,value347,value348,value349,value350,value351,value352,value353,value354,value355,value356,value357,value358,value359,value360,value361,value362,value363,value364,value365,value366,value367,value368,value369,value370,value371,value372,value373,value374,value375,value376,value377,value378,value379,value380,value381,value382,value383,reference,_id
0,22,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384404,0,0,0,0,-0.25,-0.25,0,0,0.418445,0.319149,0.3561,0,-0.25,-0.25,-0.25,-0.25,0,0,0.727006,0.734715,0,0,-0.25,-0.25,-0.25,-0.25,0.04878,0,0.774429,0.747183,0,0,-0.25,-0.25,-0.25,-0.25,0.374046,0,0.607891,0,0,0,-0.25,-0.25,-0.25,-0.25,0.90246,0.494595,0,0.389105,0,0,0,0,-0.25,-0.25,0.770563,0.241463,0,0.164835,0,0,0,0,0,0,0,0,0,0.779006,0,0,0,0,0,0,0,0,0,0.042699,0,0,0,0,0,-0.25,0,0,0,0,0,0.878813,0.81868,0,0,-0.25,0,0,0,0,0,0.810628,0,0,0,0,0,0,0,0.182882,0.173181,0.828009,0.214495,0,0,0,0,0,0.708443,0.765953,0,0,0,0,-0.25,-0.25,0.198646,0.591928,0.335404,0,0,0,-0.25,-0.25,-0.25,-0.25,0.588957,0.865772,0.694255,0.289389,0,0,-0.25,-0.25,-0.25,-0.25,0.372263,0.838114,0.754392,0.431183,0,0,-0.25,-0.25,-0.25,-0.25,0.448944,0.661028,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0.010782,0,0.541455,0.715477,0.408199,0,0,0,-0.25,-0.25,0,0,0,0.67464,0.580465,0.808235,0.416357,0,0,0,0,0,0,0.665188,0.528876,0.872905,0,0,0,0,0,0,0,0,0.297828,0.905327,0.032922,0,0,-0.25,0.99715,0.999995,0.999999,0.999276,0,0,0,0,0.998373,0.999963,0.999996,0.99922,0,0,0,0,0.999204,0.998315,0.999959,0.998749,0,0,0,-0.25,0.999492,0,0.985173,0,0,0,-0.25,-0.25,0.999219,0,0,0,0,-0.25,-0.25,-0.25,0.998464,0,0,0,0,0,-0.25,-0.25,0.997823,0.996713,0.999785,0.952095,0,0,0,-0.25,0.999865,0.999759,1,0.991565,0,0,0,0,0.999939,0.999996,1,0.994449,0,0,0,0,0.999964,0.999993,0.999998,0.99612,0,0,0,0,0.999988,1,0.999966,0.929499,0,0,0,0,0.999986,0.999822,0.999386,0,0,0,0,-0.25,0.999569,0,0,0,0,0,-0.25,-0.25,0.999007,0,0,0,0,-0.25,-0.25,-0.25,0.998535,0,0,0,0,0,-0.25,-0.25,0.997592,0.999597,0.99941,0,0,0,0,-0.25,0.999473,1,0.999995,0.997513,0,0,0,0,0.996836,0.999998,0.999994,0.999236,0,0,0,0,32.100964,5f4515ff4579cda5ca02b54b
1,45,0,0,0.503311,0.931943,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.92545,0.915446,0,0,0,-0.25,-0.25,-0.25,0,0,0.176309,0.39557,0,0,0,0,-0.25,-0.25,0,0.478481,0.94904,0.883083,0,0,0,0,0,0,0,0,0.934774,0.942377,0.931994,0.144776,0,0,0,0,0,0,0,0.670055,0.979711,0.948467,0,0,0,-0.25,0,0,0.129477,0.733138,0.963758,0.944955,0,0,0,-0.25,0,0.532067,0.912535,0.742216,0.723949,0,0,0,0,0,0,0.565116,0.936239,0.796274,0,0,0,0,0,0,0,0,0.132964,0,0,0,0,0,-0.25,-0.25,0,0,0.958196,0.367047,0,0,0,-0.25,-0.25,-0.25,0,0,0.948435,0.535264,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.860859,0.490838,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0.25641,0.452514,0.912981,0,0,0,0,0,-0.25,-0.25,0.797688,0.868342,0.443623,0,0,0,0,0,0,0,0.857527,0.965495,0.879819,0,0,0,0,0,0,0,0.738182,0.285211,0.93931,0.791925,0,0,0,0,0,-0.25,0.985185,0.136882,0.849105,0.936548,0,0,0,0,0,-0.25,0.93736,0.171756,0.91678,0.693603,0,0,0,0,0,0,0.689655,0.989284,0.768236,0,0,0,0,0,0,0,0.534483,0.951832,0.651048,0,0,0,0,0,-0.25,-0.25,0,0.171756,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.419355,0.795594,0,0,-0.25,-0.25,-0.25,-0.25,0.997543,0,0,0,0,-0.25,-0.25,-0.25,0.998091,0,0,0,0,0,-0.25,-0.25,0.995147,0,0.902883,0,0,0,0,0,0.985949,0,0.532999,0.99609,0,0,0,0,0.98698,0,0.913749,0.996556,0.948145,0,0,-0.25,0.991967,0,0.982787,0.999367,0.948044,0,0,0,0.994902,0,0,0.767288,0,0,0,0,0.994637,0,0,0,0,0,-0.25,-0.25,0.989619,0,0,0,0,-0.25,-0.25,-0.25,0.990141,0,0,0,0,-0.25,-0.25,-0.25,0.973303,0,0,0,0,0,-0.25,-0.25,0.959759,0,0,0,0,0,0,0,0.959759,0,0,0,0,0,0,0,0.959038,0,0,0,0,0,0,-0.25,0.959744,0,0,0,0,0,0,0,0.973296,0,0,0,0,0,0,0,0.987232,0,0,0,0,0,-0.25,-0.25,0.994473,0,0,0,0,-0.25,-0.25,-0.25,17.810175,5f4515ff4579cda5ca02b54c
2,69,0,0,0,0,0.836415,0.922981,0,-0.25,-0.25,-0.25,0,0,0,0,0.954622,0.732254,0,0,-0.25,-0.25,0,0,0,0,0.973524,0.928816,0,0,0,-0.25,0,0,0,0.901468,0.944386,0.984696,0.967969,0,0,0,0,0,0,0.835435,0.843091,0.625746,0.969103,0,0,-0.25,0,0,0,0,0.59867,0.947318,0.949118,0,-0.25,-0.25,0,0,0,0.281818,0.587595,0.826409,0.926302,0,-0.25,-0.25,0,0,0.80773,0.752212,0.085714,0,0,0,0,-0.25,0,0,0.254777,0.95753,0.97325,0.927917,0.909091,0,0,0,0,0,0,0,0.932374,0,0,0,0,-0.25,0,0,0,0,0.931034,0,0,0,-0.25,-0.25,0,0,0,0,0.727273,0.897871,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.944882,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.976636,0,0,-0.25,-0.25,0,0,0,0,0,0.972653,0.84266,0,0,-0.25,0,0,0,0,0,0.828041,0.976014,0,0,0,0,0,0,0,0,0,0.970358,0,0,-0.25,0,0,0,0,0,0.8063,0.986499,0,-0.25,-0.25,0,0,0,0,0,0.543895,0.980175,0,-0.25,-0.25,0,0,0,0,0,0.76307,0.971314,0,0,-0.25,0,0,0,0,0,0.960784,0.920095,0,0,0,0,0,0,0,0,0.971773,0.193893,0,0,-0.25,0,0,0,0,0,0.971435,0,0,-0.25,-0.25,0,0,0,0,0,0.968402,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0.45,0.994905,0.974772,0,-0.25,0,0,0,0,0.992199,0.99062,0,-0.25,0,0,0,0,0.893373,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,10.695436,5f4515ff4579cda5ca02b54d
3,72,0,0,0,0,0,0,0.76814,0.246415,0,-0.25,0,0,0,0,0,0,0.225154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087344,0.488263,0,0,0,0,0,0,0,0,0,0.764764,0.432288,0,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0.865731,0.038756,0,0,0,0,0,0,0,0.760387,0,0,0,0,0,0,0,0,0,0.742163,0,0,0,-0.25,0.55058,0.795432,0.727273,0.72843,0,0,0,-0.25,-0.25,-0.25,0.231144,0.8582,0.882453,0.209604,0,0,-0.25,-0.25,-0.25,-0.25,0.051948,0.839331,0.875027,0.246992,0,0,-0.25,-0.25,-0.25,-0.25,0,0.859712,0.560597,0.661285,0,0,0,-0.25,-0.25,-0.25,0,0.030151,0,0,0.298178,0.842021,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782111,0,0,0,0,0,0,0,0,0,0.777466,0.512223,0,-0.25,0,0,0,0.972567,0.65493,0,0,-0.25,0,0,0,0.988732,0.995318,0,0,0,0,0,0.889477,0.999451,0.998928,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96074,0,-0.25,0,0,0,0,0,0.99871,0,-0.25,0,0,0,0.958712,0.999507,0.998312,0,0,0,0.995324,0.999083,0.999633,0.998416,0,0,0,0,0.986628,0.996989,0.920059,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.971338,0.830897,0,0,-0.25,-0.25,0,0,0.977486,0.994286,0.85179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,53.444212,5f4515ff4579cda5ca02b54e
4,67,0.07362,0.634921,0.594872,0.924981,0.831169,0,0,-0.25,-0.25,-0.25,0,0.502326,0,0,0.356965,0,0,0,-0.25,-0.25,0,0.445313,0.199005,0.230627,0.86119,0,0,0,0,0,0,0.035433,0.787529,0,0.864865,0,0,0,0,0,0,0,0.584574,0.946607,0.9821,0.940511,0,0,0,-0.25,0,0,0.928429,0.969472,0.960243,0.99462,0.793798,0,-0.25,-0.25,0,0,0.808287,0.95397,0.977177,0.974968,0.081321,0,-0.25,-0.25,0,0.591633,0.89729,0.597015,0.90989,0,0,0,0,-0.25,0,0,0.33543,0.664666,0,0,0,0,0,0,0,0.208609,0,0.868321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0.370588,0.866282,0.947459,0,0,0,-0.25,-0.25,-0.25,0.459574,0.690141,0.943365,0.76266,0.382527,0,0,-0.25,-0.25,-0.25,0.700997,0.760218,0.800448,0.457516,0.911688,0.359162,0,0,-0.25,-0.25,0.606426,0.136364,0.496732,0,0.957158,0.935625,0,0,0,0,0.788462,0.068702,0,0,0,0.980978,0,0,0,0,0,0,0,0,0,0.977655,0.907327,0,0,-0.25,0,0,0,0,0,0.988806,0.952432,0,-0.25,-0.25,0,0,0,0,0,0.989899,0.95426,0,-0.25,-0.25,0,0,0,0,0,0.988559,0.781923,0,0,-0.25,0.44878,0,0,0,0,0.975443,0,0,0,0,0.789041,0.716396,0.512977,0.318471,0.869869,0.930282,0,0,0,0,0.456221,0.878341,0.690928,0.834492,0.864438,0.811465,0,0,-0.25,-0.25,0.625984,0.792746,0.834225,0.899805,0.174757,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0.99675,0.991597,0.994773,0.997772,0.924922,0,0,0,0.999319,0.999984,0.998209,0.99678,0.948078,0,0,-0.25,0.99909,0.999742,0.994361,0,0,0,-0.25,-0.25,0.992408,0.99782,0.997137,0.996614,0,0,0,-0.25,0,0.851837,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0.98049,0,0,-0.25,-0.25,0,0,0.921264,0.950733,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0.718913,0,0,0,0,0,0.990937,0.992565,0.989822,0,0,-0.25,0,0,0.979985,0.625455,0,0,-0.25,-0.25,14.777745,5f4515ff4579cda5ca02b54f
5,95,0.342857,0.260518,0,0,0.899778,0.912372,0.93548,0.731668,0,-0.25,0.483721,0.019313,0,0,0,0,0,0,0,0,0.590717,0,0,0,0,0,0,0,0,0,0.784884,0,0,0,0,0,0,-0.25,-0.25,-0.25,0.554371,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.544276,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0.782473,0,0,0,0,0,0,-0.25,-0.25,-0.25,0.654676,0,0,0,0,0,0,0,0,0,0.446602,0,0,0,0,0,0,0,0,0,0.492718,0.577174,0,0,0.890082,0.926913,0.939349,0.756885,0,-0.25,0,0.811951,0.750797,0.106838,0.787607,0.937989,0.902998,0.811438,0,-0.25,0,0.513064,0.689331,0.749319,0,0,0,0,0,0,0,0,0.839785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.830034,0.558659,0,0,0,0,0,0,0,0.535469,0.728713,0.859478,0,0,0,0,0,0,0,0.693493,0.777778,0.178389,0.881717,0.908845,0.911736,0.915169,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.853359,0,0,0,0,0,0,0,0.95881,0,0,0,0,0,0,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0.994285,0,0,0,0,-0.25,-0.25,-0.25,0.995314,0,0,0,0,-0.25,-0.25,-0.25,0.993801,0,0,0,0,0,0,-0.25,0.992189,0,0,0,0,0,0,0,0.974309,0,0,0,0,0,0,0,87.225799,5f4515ff4579cda5ca02b550
6,29,0,0.547429,0.887814,0.943607,0,0,0,0,0,-0.25,0,0,0.117216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013139,0,0.8381,0,0,0,0,0,-0.25,0,0,0.893969,0.926007,0,0,0,0,0,-0.25,0,0,0.8505,0.868842,0,0,0,0,0,0,0,0,0.416402,0.19685,0,0,0,0,0,0.264,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0.016211,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.016495,0.322671,0.023241,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0.652045,0.361693,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0.028235,0.184337,0.783156,0.540541,0,0,0,0,0,0,0,0,0.791351,0.928861,0,0.052155,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0.656506,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,81.269322,5f4515ff4579cda5ca02b551
7,95,0,0.265139,0.807175,0.930112,0.948096,0.91162,0,0,0,-0.25,0,0,0.840426,0.933112,0.700702,0.142545,0,0,0,0,0,0.619433,0.837727,0.786687,0,0,0,0,0,0,0,0.193548,0.871242,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0.15074,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0.712871,0.88746,0,0,0,0,-0.25,-0.25,-0.25,0,0.739807,0.838143,0.611277,0,0,0,0,0,0,0,0.168539,0.895161,0.905681,0.782931,0.401845,0,0,0,0,0,0.288851,0.620736,0.824416,0.959606,0.958373,0.87795,0,0,-0.25,0,0.540601,0.91607,0.942965,0.776109,0.511269,0.935359,0,0,-0.25,0,0.017354,0.917197,0.77884,0,0,0,0,0,0,0,0,0.811594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.668657,0.664714,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0.71964,0.735461,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0.03913,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.556625,0,0,0,0,0,0,0,0,0,0.893194,0.801913,0,0,0,0,0,0,0,0.039474,0.916347,0.954852,0.637904,0.143906,0.86234,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.840487,0,0,0,0,0,0,0,0.99916,0,0,0,0,0,0,0,0.998363,0,0,0,0,0,0,-0.25,0.997208,0,0,0,0,-0.25,-0.25,-0.25,0.996696,0,0,0,0,-0.25,-0.25,-0.25,0.997208,0,0,0,0,-0.25,-0.25,-0.25,0.99833,0,0,0,0,0,0,-0.25,0.999641,0,0,0,0,0,0,0,0.991245,0,0,0,0,0,0,0,83.224321,5f4515ff4579cda5ca02b552
8,57,0,0.045997,0.058111,0.069832,0.172014,0.032974,0,0,-0.25,-0.25,0,0,0.189044,0.024679,0.107223,0.827417,0,0,0,-0.25,0,0.048214,0.113208,0,0.131387,0,0,0,0,0,0,0,0.157722,0.024486,0.081818,0.783937,0.037296,0,0,0,0,0.047203,0,0,0,0,0,0,-0.25,-0.25,0.012658,0,0.060226,0,0,0,0,-0.25,-0.25,-0.25,0.011594,0,0.039457,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0.024615,0,0,0,0,0.676828,0,0,0,0,0,0,0,0,0,0.838958,0,0,0,0,0,0,0,0.024679,0.029079,0,0,0,0,-0.25,0,0,0.02086,0,0,0.822849,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0.855011,0,0,0,0,0,0,0,0,0,0.772373,0,0,0,0,0,0,0,0,0.831475,0,0,0,-0.25,-0.25,0,0.14658,0.661958,0.743303,0,0,0,-0.25,-0.25,-0.25,0.077135,0,0.296022,0.888399,0.35027,0,0,-0.25,-0.25,-0.25,0.141304,0.234104,0.511217,0.726438,0.056559,0,0,0,-0.25,-0.25,0.114613,0,0,0,0.743387,0.668779,0,0,0,0,0.023188,0,0,0,0,0.684922,0,0,0,0,0,0.15566,0.11215,0.070688,0,0.884127,0,0,0,-0.25,0,0.092784,0.304183,0.114364,0.057098,0.703246,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0.975288,0.998703,0,0,0,0,0,0,0.99931,0.997487,0,0,-0.25,0,0,0,0.997121,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0.993225,0,0,0,0,0,0,0.997924,0.998408,0,0,0,0,0,0.998313,0.999187,0.956452,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0.982749,0.967732,0,0,0,-0.25,0,0,0.998107,0.998603,0.996403,0,0,0,0,0,0,0,0.990947,0,0,0,0,0,0,0,0,0,0,-0.25,53.833077,5f4515ff4579cda5ca02b553
9,83,0.184466,0,0,0,0.440217,0.659504,0.730713,0,0,0,0,0.0599,0.551119,0,0,0,0,0,0,0,0,0.755282,0.656724,0,0,0,0,0,0,-0.25,0,0.785455,0.650048,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0.485514,0.577982,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0.102773,0.058111,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0,0.0599,0.590045,0.120192,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.090141,0.616935,0.80838,0.165837,0,0,-0.25,-0.25,-0.25,-0.25,0,0.412214,0,0,0,0,0,0,0,-0.25,0,0,0.384307,0.57168,0,0,0,0,0,0,0,0.241185,0.834356,0,0,0.350313,0.567702,0,0,0,0.011173,0,0,0.067265,0.937395,0.944057,0.310052,0,0,0,0.434783,0.791775,0.87807,0,0.054422,0.960284,0,0,0,0,0.747676,0.320562,0.019975,0,0,0,0,0,0,-0.25,0.812431,0.044628,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0.585526,0.015598,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.7583,0.322663,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.710526,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,0.730769,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.725895,0.321429,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0.064865,0.05719,0,0,0,0,0,0,0,-0.25,0.199501,0.126365,0,0,0,0.840801,0.208275,0,0,0,0.790989,0.44697,0.274025,0.871906,0.617876,0.642461,0.786401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0.976342,0.990631,0,0,-0.25,-0.25,-0.25,-0.25,0.993332,0.998302,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.999117,5f4515ff4579cda5ca02b554
